Mês,Quantum Computing: (Mundo)
2010-11,15
2010-12,13
2011-01,16
2011-02,14
2011-03,18
2011-04,15
2011-05,16
2011-06,13
2011-07,13
2011-08,11
2011-09,14
2011-10,13
2011-11,12
2011-12,13
2012-01,14
2012-02,21
2012-03,16
2012-04,18
2012-05,13
2012-06,12
2012-07,12
2012-08,13
2012-09,14
2012-10,19
2012-11,14
2012-12,14
2013-01,14
2013-02,14
2013-03,19
2013-04,15
2013-05,26
2013-06,17
2013-07,16
2013-08,15
2013-09,20
2013-10,20
2013-11,21
2013-12,17
2014-01,24
2014-02,23
2014-03,18
2014-04,17
2014-05,19
2014-06,19
2014-07,16
2014-08,16
2014-09,20
2014-10,18
2014-11,16
2014-12,16
2015-01,17
2015-02,15
2015-03,16
2015-04,17
2015-05,21
2015-06,14
2015-07,14
2015-08,16
2015-09,21
2015-10,24
2015-11,20
2015-12,27
2016-01,16
2016-02,13
2016-03,15
2016-04,48
2016-05,29
2016-06,16
2016-07,14
2016-08,17
2016-09,19
2016-10,18
2016-11,17
2016-12,17
2017-01,18
2017-02,27
2017-03,26
2017-04,21
2017-05,24
2017-06,19
2017-07,22
2017-08,19
2017-09,30
2017-10,33
2017-11,36
2017-12,38
2018-01,35
2018-02,32
2018-03,34
2018-04,30
2018-05,30
2018-06,28
2018-07,31
2018-08,26
2018-09,32
2018-10,32
2018-11,32
2018-12,30
2019-01,34
2019-02,31
2019-03,33
2019-04,29
2019-05,29
2019-06,31
2019-07,31
2019-08,30
2019-09,40
2019-10,71
2019-11,48
2019-12,39
2020-01,42
2020-02,44
2020-03,36
2020-04,33
2020-05,41
2020-06,33
2020-07,36
2020-08,38
2020-09,42
2020-10,32
2020-11,31
2020-12,41
2021-01,39
2021-02,42
2021-03,50
2021-04,47
2021-05,42
2021-06,45
2021-07,40
2021-08,41
2021-09,41
2021-10,35
2021-11,49
2021-12,41
2022-01,45
2022-02,44
2022-03,49
2022-04,48
2022-05,43
2022-06,48
2022-07,56
2022-08,54
2022-09,53
2022-10,53
2022-11,54
2022-12,50
2023-01,56
2023-02,65
2023-03,58
2023-04,55
2023-05,60
2023-06,63
2023-07,59
2023-08,66
2023-09,61
2023-10,64
2023-11,59
2023-12,77
2024-01,61
2024-02,79
2024-03,78
2024-04,67
2024-05,66
2024-06,59
2024-07,61
2024-08,58
2024-09,68
2024-10,77
2024-11,90
2024-12,100
